_	a	determiner			banyin na basia	a man and a woman
kontombire	cocoyam leaves	noun			kontombire frɔwee	cocoyam leaves stew
kontombire	spinach	noun			kontombire frɔwee	spinach stew
kontompo	perjury	noun			kontompo wɔ asɛndiibea	perjury in court
kontoromfi	chimpanzee	noun			me huee kontoromfi	I saw a chimpanzee
koobi	salted fish	noun			koobi ma aduane yɛ dɛw	salted fish makes food tasty
koodu	code	noun			kyerɛw koodu	to write code
kooko	porridge	noun			atoko kooko	millet porridge
kookyi	coach	noun			bɔɔlbɔkuw kookyi	a football team coach
kootaa	coaltar	noun			kootaa hyew	hot coaltar
kooti	couch	noun			kooti kɔkɔɔ no	the red couch
kootu	coat	noun			ɔ rehyɛ kootu	she is putting on a coat
kora	preserve	verb			kora aduane no	to preserve the food
kora	rival	noun			ɔ yɛ me kora	she is my rival
koraa	totally	adverb			ɛ ahyew koraa	it is totally burnt
korabo	bullet	noun			nkorabo abien	two bullets
koran	koran	noun			Baebol na Koran	the Bible and the Koran
koratwe	rivalry	noun			gyae koratwe no	stop the rivalry
korbata	branch	noun		a representative location of an organization	yɛ wɔ nkorbata wɔ Takoradi	we have branches in Takoradi
kore	herpes	noun			kore yɛ yare	herpes is a disease
koro	one	adjective			Bɔdambɔ koro si dan no so	There is one bottle standing on top of the house
korotee	sole	adjective			me ba korotee	my sole child
koroyɛ		noun	nkabom			
kosua	egg	noun			akokɔ kosua	chicken egg
kosɛ	sorry	exclamation			kosɛ kosɛ!	sorry sorry!
kotiko	hiccups	noun			ɔ anya kotiko	he has got the hiccups
kotodwe	knee	noun			me nkotodwe	my knees
kotokrodo	wasp	noun			nkotokrodo pii	many wasps
kotoku	sack	noun			biriw kotoku	sack of charcoal
kotoku	pocket	noun			hwee nnyi me kotoku mu	nothing inside my pocket
kotoku	sack	noun			hwee nnyi me kotoku mu	nothing inside my sack
kotow	squat	verb			suo wo sisiw na kotow	hold your waist and squat
kɔ	to	preposition			fi ha kɔ hɔ	from here to there
kɔ	go	verb			kɔ skuul	to go to school
kɔ ... mu	log in	verb			kɔ Facebook mu	log in to Facebook
kɔ tiefi	go to the toilet	verb			kɔ tiefi dapɛn dapɛn	to go to the toilet weekly
kɔannkɔ	recurring	adjective			yare kɔannkɔ	recurring disease
kɔbea	trend	noun			kɔbea papa	a good trend
kɔbienmu	even	mathadj	nkanee a wo tumi kyɛ mu abien a bi nnka		2 yɛ kɔbienmu nkanee	2 is an even number
kɔen	coin	noun			kɔen anan	four coins
kɔfe	coffee	noun			ɔ nom kɔfe	she drinks coffee
kɔkɔ	warning	noun			tie kɔkɔ no	listen to the warning
kɔkɔɔ	red	adjective			ano kɔkɔɔ	red lips
kɔm	hunger	noun			kɔm na nsukɔm	hunger and thirst
kɔma	comma	noun			kɔma na pɔw	comma and fullstop
kɔmfo	prophet	noun			kɔmfo tumfo	powerful prophet
kɔmpiyuta	computer	noun			kɔmpiyuta taabow	computer keyboard
Kɔmɔrɔs	Komoros	noun	Ɔman wɔ Abibir	A country in Africa	kɔ Kɔmɔrɔs	go to Komoros
Kɔmɔrɔsnyi	Comoran	noun	obi a ɔ fi Kɔmɔrɔs	someone from the Comoros	Kɔmɔrɔsfo no	the Comorans
kɔn	neck	noun			tae no sɛn ne kɔn ho	the tie hangs on his neck
kɔndɔ	desire	verb			me kɔndɔ mpuwa	I desire a banana
kɔnkɔnsa	gossip	noun			kɔnkɔnsa nnyie	gossip is not good
kɔnmuade	necklace	noun			asombɛn kɔnmuade	ivory necklace
kɔnomnsanyi	drunkard	noun			ɔ yɛ kɔnomnsanyi	he is a drunkard
kɔɔpow	cup	noun			tii kɔɔpow	tea cup
kɔr	proceed	verb			ɔ kɔree kɔhwɛee	he proceeded to see
kɔsidɛ	until	preposition	hwɛ 'kɔsisɛ'			until we meet again
kɔsisɛ	until	preposition			kɔsisɛ yɛ bɛhyia biom	until we meet again
kɔsɔɔ	gaudy	adjective			kɔnmuade kɔsɔɔ	gaudy necklace
kɔte	penis	noun			wo nnka 'kɔte' wɔ bagua mu	you don't say 'penis' in public
kɔtɔ	crab	noun			kɔtɔ nkwan	crab soup
kɔtɔkɔ	porcupine	noun			nkɔtɔkɔ abiasa	three porcupines
kɔtɔkɔ	porcupine	noun			kɔtɔkɔ bɔn	porcupine hole
Kɔtɔnimba	May	noun			Kɔtɔnimba wɔ nda 31	May has 31 days
kɔwensanyi	drunkard	noun			ɔ yɛ kɔwensanyi	he is a drunkard
kra	soul	noun			me kra di ehurusi	my soul exults
kra	say goodbye	verb			yɛ kra a ɛ di sima du	we take ten minutes to say goodbye
kraban	giant	adjective			ɔ yɛ banyin kraban	he is a giant man
krado	ready	adverb			me ayɛ krado	I am ready
krakun	turkey	noun			krakun nam	turkey meat
krakye	gentleman	noun			krakye panyin	senior gentleman
kraman	dog	noun			kraman puow	a dog barks
kramo	Islamic	adjective			kramo afahyɛ	Islamic holiday
kramonyi	muslim	noun			kristonyi na kramonyi	a Christian and a Muslim
kramosom	Islam	noun			kristosom na kramosom	Christianity and Islam
krataa	paper	noun			ndɛ krataa	today's paper
kratebiew	spine	noun			asowa, hwene nye kratebiew	ear, nose and spine
kratebiew-ahuon-ntini	spinal cord	noun			me kratebiew-ahuon-ntini	my spinal cord
kresiin	kerosene	noun			kresiin toa koro	bottle of kerosene
Kristo	Christ	noun			Yesu Kristo!	Jesus Christ!
kristonyi	Christian	noun			kristonyi na kramonyi	a Christian and a Muslim
kristosom	Christianity	noun			kristosom na kramosom	Christianity and Islam
krowa	calabash	noun			nom fi krowa no mu	drink from the calabash
krowa	small	adjective			ade krowa	a small thing
krɔkrɔw	lock	noun			nkrɔkrɔw anum	five locks
krɔn	solemn	adjective			bɔhyɛ krɔn	a solemn promise
krɔn	be high	verb			wo so na wo krɔn	you are big and you are high
krɔnkrɔn	holy	adjective			nwoma krɔnkrɔn	holy book
krɔnoo	burglary	noun			krɔnoo redɔɔso	burglary is increasing
ku	kill	verb			ku apɔnkye	to kill a goat
kua	kindle	verb			kua gya	kindle a fire
kua	farm	noun			kokoo kua	cocoa farm
kuani	farmer	noun			ɔ yɛ kuani	she is a farmer
kube	coconut	noun			kube abien	two coconuts
kukrudu	earthquake	noun			ɛ yɛ kukrudu	it is an earthquake
kukuduuduw	bud	noun			nhyiren kukuduuduw	flower bud
kukuru	wield	verb			ɔ kukuru kyɛnsee no	she is wielding the pan
kukuw	stump	noun			dua ne kukuw	stump of a tree
kuma	smaller	adjective			dan kuma	smaller house
kuna	widowed	adjective			banyin kuna	widowed man
kuna	widowhood	noun			kuna tiatia	a short widowhood
kunafo	widow	noun			ɔ yɛ kunafo	she is a widow
kunafo	widower	noun			ɔ yɛ kunafo	he is a widower
kuntann	huge	adjective		very large	dan kuntann	a huge building
kuntu	blanket	noun			kuntu fɔwee	wet blanket
kunu	husband	noun			me dɔ me kunu	I love my husband
kur	roof	verb		to put a roof over a building	kur dan no	roof the house
kura	mouse	noun			okura kɛse	a big mouse
kura	hold	verb			kura me nsa	hold my hand
kurow	town	noun			kɔ kurow mu	go into town
kurowkɛse	city	noun			kurowkɛse kakraka	a large city
kurowmu	hometown	noun			me rekɔ me kurowmu	I'm going to my hometown
kuru	sore	noun			kraman no retafere ne kuru	the dog is licking its sore
kusi	rat	noun			kusi kɛse	a big rat
kutonyi	helmsman	noun			hɛmba ne kutonyi	helmsman of a boat
kutow	steer	verb			kutow ɔkorow no	to steer the boat
kutu	pot	noun			dade kutu	metal pot
kutuku	blow	noun			bɔ no kutuku	give him a blow
kutuku	fist	noun			wo kutuku	your fist
kuubu	cube	noun			asikyire kuubu	a cube of sugar
kuw	group	noun			ma yɛn tew kuw	let us found a group
kuwbu	administration	noun		the process of running an organization	ne kuwbu de mpontu baee	her administration brought progress
Kuweti	Kuwait	noun	Ɔman wɔ Ahyia	A country in Asia	kɔ Kuweti	go to Kuwait
Kuwetinyi	Kuwaiti	noun	obi a ɔ fi Kuweti	someone from Kuwait	Kuwetifo no	the Kuwaitis
kuwu	heap	noun			nwoma kuwu	a heap of books
kwa	free	adjective			aduane kwa	free food
kwa	mere	adjective			kwasea kwa	mere fool
kwa	waste	noun			adwuma no ayɛ kwa	the work has been a waste
kwaadonto	sluggard	noun			ɔkwaadonto no ada	the sluggard is asleep
kwaadu	indictment	noun			kwaadu akron	nine indictments
kwaakwaa	raucously	adverb			serew kwaakwaa	to laugh raucously
Kwabena	Kobina	noun	banyin a wɔ wooee no Benada	Akan male born on Tuesday	Kwabena yɛ me babarima	Kobina is my son
kwabran	capable	adjective			basia kwabran	a capable woman
kwadu	banana	noun			adow pɛ kwadu	a monkey likes bananas
kwadum	powder-keg	noun			nkwadum abiasa	three powder-kegs
kwadwenyi	sluggard	noun			akwadwefo abien	two sluggards
Kwadwo	Kojo	noun	banyin a wɔ wooee no Dwowda	Akan male born on Monday	Kwadwo yɛ me babarima	Kojo is my son
kwadwom	lamentation	noun			nkwadwom pii	many lamentations
kwae	forest	noun			mbowa a wɔ wɔ kwae mu	animals in the forest
kwaedu	ox	noun			me hu kwaedu	I see an ox
kwako	monkey	noun			kwako pɛ mpuwa	a monkey likes bananas
Kwaku	Kweku	noun	banyin a wɔ wooee no Wukuda	Akan name for a boy born on Wednesday	me ba yɛ Kwaku	My son is Kweku
Kwakwar	February	noun			Kwakwar wɔ nda 28 anaa 29	February has 28 or 29 days
Kwame	Kwame	noun	banyin a wɔ wooee no Memeneda	Akan male born on Saturday	Kwame yɛ me babarima	Kwame is my son
Kwamena	Kwame	noun	Fantenyi barima a wɔ wooee no Memeneda	Akan male born on Saturday	Kwamena yɛ me babarima	Kwame is my son
kwan	row	verb			kwan wo hɛmba	row your boat
kwan	way	noun			kwan no	the way
kwangyanyi	guide	noun			ɔ yɛ hɛn kwangyanyi	she is our guide
kwankyerɛnyi	leader	noun	obi a ɔ kyerɛ kwan	someone who shows the way	hɛn kwankyerɛnyi nyi	this is our leader
kwansera	espionage	noun			kwansera sene	espionage films
kwanseranyi	spy	noun			ɔ yɛ kwanseranyi	he is a spy
kwansin	mile	noun	(mi)		kwansin du	ten miles
kwansiw	obstacle	noun			nkwansiw pii	many obstacles
kwanta	ladle	noun		a deep large spoon	nkwan kwanta	soup ladle
kwantemfi	highway	noun			kaar wɔ kwantemfi no so	cars on a highway
kwantunyi	traveller	noun			akwantufo anan	four travellers
kwanyɛn	angle	noun		the length of turn between two straight lines that meet	kwanyɛn abien	two angles
kwanyɛn-anum	pentagon	noun			kwanyɛn-anum wɔ kwanyɛn anum	a pentagon has five angles
kwanyɛn-asia	hexagon	noun		a polygon with six angles	kwanyɛn-asia wɔ kwanyɛn asia	a hexagon has six angles
kwanyɛn-du	decagon	noun			kwanyɛn-du wɔ kwanyɛn du	a decagon has ten angles
kwanyɛn-kron	nonagon	noun			kwanyɛn-kron wɔ kwanyɛn akron	a nonagon has nine angles
kwanyɛn-nan	rectangle	noun			kwanyɛn-nan wɔ kwanyɛn anan	a rectangle has four angles
kwanyɛn-sa	triangle	noun			kwanyɛn-sa wɔ kwanyɛn abiasa	a triangle has three angles
kwanyɛn-suon	heptagon	noun			kwanyɛn-suon wɔ kwanyɛn asuon	a heptagon has seven angles
kwanyɛn-twe	octagon	noun			kwanyɛn-twe wɔ kwanyɛn awɔtwe	an octagon has eight angles
kwasea	foolish	adjective			asɛm kwasea	a foolish story
kwasea	fool	noun			Kwasea! Bɛlɛ!	Fool! Dimwit!
Kwasi	Kwesi	noun	banyin a wɔ wooee no Kwasida	Akan name for male born on Sunday	me babanyin no wɔ frɛ no Kwasi	my son is called Kwesi
Kwasida	Sunday	noun			Kwasi na Akosua yɛ Kwasida mba	Kwasi and Akosua are Sunday children
kwata	leprosy	noun			kwata yɛ yare	leprosy is a disease
kwatanyi	leper	noun			akwatafo du	ten lepers
kwatiri	avoid	verb			kwatiri bɔne	to avoid evil
Kwaw	Kow	noun	banyin a wɔ wooee no Yawda	Akan male born on Thursday	Kwaw yɛ me babarima	Kow is my son
kyapem	captain	noun			ɔ yɛ kyapem	she is a captain
kye	catch	verb			kye bɔɔl no	catch the ball
kyea	bend	verb			kyea no kakra	bend it a bit
Kyead	Chad	noun	Ɔman wɔ Abibir	A country in Africa	kɔ Kyead	go to Chad
Kyeadnyi	Chadian	noun	obi a ɔ fi Kyead	someone from Chad	Kyeadfo no	the Chadians
Kyeaena	China	noun	Ɔman wɔ Ahyia	A country in Asia	kɔ Kyeaena	go to China
Kyeaenanyi	Chinese	noun	obi a ɔ fi Kyeaena	someone from China	Kyeaenafo no	the Chinese
kyeagye	charge	science			anyinam wɔ kyeagye pɔsitif nye kyeagye negatif	electricity has positive charge and negative charge
kyeale wote	slippers	noun			wo hyɛ kyeale wote	you are wearing slippers
kyeame	spokesperson	noun			ɔhene ne kyeame	the chieftain's spokesperson
kyedɛ		conjunction	hwɛ 'kyesɛ'			
kyehoma	rope	noun		a thick string usually made by twisting together smaller pieces of string	kyehoma tenten	a long rope
kyekyere	tie	verb			kyekyere no	tie it
kyekyeretenyi	miser	noun			ɔ yɛ kyekyeretenyi	he is a miser
kyembiri	cobra	noun			kyembiri tuntum	black cobra
kyenam	fried-fish	noun			me redi kyenam	I am eating fried-fish
kyenan	spoor	noun			abowa no ne kyenan	the spoor of an animal
kyene	drum	noun			me te kyene no	I hear the drums
kyere	squeeze	verb			kyere akutu no	squeeze the orange
kyere ... kɔm	fast	verb			kyere kɔm na bɔ mpae	fast and pray
kyerɛ	teach	verb			kyerɛ nkotaabu	to teach mathematics
kyerɛ ... ase	explain	verb			kyerɛ me ase	to explain to me
kyerɛkyerɛnyi	teacher	noun			me yɛ kyerɛkyerɛnyi	I am a teacher
kyerɛma	drummer	noun			ɔ yɛ kyerɛma	she is a drummer
kyerɛpɛn	row	noun			ngua akyerɛpɛn abiasa	three rows of chairs
kyerɛsɛ	mean	verb			kasahorow kyerɛsɛ "kasa ahorow"	kasahorow means "many languages"
kyerɛw	write	verb			kyerɛw krataa	to write a letter
kyerɛwdua	pen	noun			kyerɛwdua mu enke	ink in a pen
kyerɛwnyi	writer	noun			me yɛ kyerɛwnyi	I am a writer
kyerɛwsɛm	scripture	noun			kenkan kyerɛwsɛm no	to read the scriptures
kyesɛ	unless	conjunction			ɔ bɛba kyesɛ nsu tɔ	she will come unless it rains
kyew	fry	verb			fa angoa kyew nam	use vegetable oil to fry fish
kyeɔkɔlete	chocolate	noun			kyeɔkɔlete no ayɛ fo	the chocolate has become cheap
kyɛ	share	verb			kyɛ aduane no	share the food
kyɛ ... mu	divide	verb		separate into parts	kyɛ paanoo no mu	divide the bread
kyɛfa	share	noun			me kyɛfa wɔ hen?	where is my share?
kyɛfo	tarantula	noun			kyɛfo kakraka	a large tarantula
kyɛke	cheque	noun			kyerɛw kyɛke	write a cheque
kyɛkuw	category	noun			nkyɛkuw anum	five categories
kyɛm	shield	noun			Ɔ yɛ me kyɛm	He is my shield
kyɛmu	fraction	math			nkyɛmu abiasa	three fractions
kyɛn	than	conjunction			ɔ ware kyɛn me	he is taller than me
kyɛn	surpass	verb			Nyame kyɛn nyimpa	God surpasses man
kyɛnse	pan	noun			kyɛnse dadaw	old pan
kyɛr	delay	verb			wo akyɛr	you have delayed
kyɛw	hat	noun			ɔ hyɛ kyɛw	he is wearing a hat
kyia	greet	verb			kyia Ama	greet Ama
kyigyinanyi	sponsor	noun			akyigyinafo pii	many sponsors
kyiis	cheese	noun			kyiis bruu	blue cheese
kyiita	cheetah	noun			kyiita yɛ aboa	a cheetah is an animal
kyikyi	telescope	noun			kyikyi tuntum	a black telescope
kyikyiikyi	turbulent	adjective			wiase kyikyiikyi	a turbulent world
kyim	argument	noun			kyim pii	many arguments
kyim	twist	verb			kyim no kakra	twist it a little
kyim	umbrella	noun			tena kyim no ase	sit under the umbrella
kyima	roam	verb			kyima beabiara	roam everywhere
kyin ... mu	wring	verb			kyin atare no mu	wring the cloth
kyinkyinga	khebab	noun			kyinkyinga na nsa	khebabs and beer
kyirefua	egg	noun			akokɔ kyirefua	chicken egg
kyiri	hate	verb			kyiri akwadwere	to hate laziness
kyiribra	teenage pregnancy	noun	sɛ ɔbaa na banyin nyem ansa ɔbaa no bragoro		kyiribra de ɔhaw ba	teenage pregnancy creates suffering
kyiritaanyi	supporter	noun			akyiritaafo ɔha	hundred supporters
labo	laboratory	noun		also 'lab'	asopiti labo	hospital laboratory
lae	line	noun			bɔɔl no atra lae no	the ball has crossed the line
Laeberia	Liberia	noun	Ɔman wɔ Abibir	A country in Africa	kɔ Laeberia	go to Liberia
Laeberianyi	Liberian	noun	obi a ɔ fi Laeberia	someone from Liberia	Laeberiafo no	the Liberians
Lakzembɔg	Luxembourg	noun	Ɔman wɔ Yurop	A country in Europe	kɔ Lakzembɔg	go to Luxembourg
Lakzembɔgnyi	Luxembourger	noun	obi a ɔ fi Lakzembɔg	someone from Luxembourg	Lakzembɔgfo no	the Luxembourgers
Laos	Laos	noun	Ɔman wɔ Ahyia	A country in Asia	kɔ Laos	go to Laos
Laosnyi	Lao	noun	obi a ɔ fi Laos	someone from Laos	Laosfo no	the Laos
leeti	late	adverb			ba leeti	to come late
lenke	link	noun			intanɛte lenke	Internet link
Lɛbanɔn	Lebanon	noun	Ɔman wɔ Ahyia	A country in Asia	kɔ Lɛbanɔn	go to Lebanon
Lɛbanɔnnyi	Lebanese	noun	obi a ɔ fi Lɛbanɔn	someone from Lebanon	Lɛbanɔnfo no	the Lebanese
Lɛndɛn	London	noun			me rekɔ Lɛndɛn	I am going to London
lɛnse	lens	noun			kamera ne lɛnse	lens of a camera
lɛtɛ	letter	noun			kyerɛw lɛtɛ	to write a letter
Libia	Libya	noun	Ɔman wɔ Ahyia	A country in Asia	kɔ Libia	go to Libya
Libianyi	Libyan	noun	obi a ɔ fi Libia	someone from Libya	Libiafo no	the Libyans
Lingala	Lingala	noun			me ka Lingala	I speak Lingala
Lisooto	Lesotho	noun	Ɔman wɔ Abibir	A country in Africa	kɔ Lisooto	go to Lesotho
Lisootonyi	Mosotho	noun	obi a ɔ fi Lisooto	someone from Lesotho	Lisootofo no	the Basotho
litiyɔm	lithium	science			litiyɔm (Li) wɔ protɔn 3	lithium (Li) has 3 protons
logo	logo	noun			asɔre logo	church logo
lɔk	luck	noun			lɔk nye nyim	luck and success
lɔki	lucky	adjective			basiaba lɔki	lucky girl
lɔre	lorry	noun			lɔre gyinabea	lorry stop
Luganda	Luganda	noun			Luganda kasa	Luganda language
Luwo	Luwo	noun		modern written form of the Acholi and Dholuo language	me tumi kenkan Luwo	I can read Luwo
ma	full	adjective			bokiti ma	full bucket
ma	give	verb			ma no nsu no	give the water to him
ma	let	verb			ma yɛn tew kuw	let us found a group
ma	for	preposition			ma hɛnho	for ourselves
ma ... do	lift	verb			ma buukuu no do	lift the book
ma ... kwan	allow	verb			ma hɔn kwan	allow them
ma so	lift	verb			ma so kɔ soro	to lift higher
maa		noun	mona			
Maako	Mark	noun			me din de Maako	my name is Mark
maame	mother	noun			me maame ba yɛ me nua	my mother's child is my sibling
maaworɛ		noun	krakun			
Madagaska	Madagascar	noun	Ɔman wɔ Abibir	A country in Africa	kɔ Madagaska	go to Madagascar
magazin	magazine	noun			magazin foforo	a new magazine
maginisiyɔm	magnesium	science			maginisiyɔm (Mg) wɔ protɔn 12	magnesium (Mg) has 12 protons
Malabo-Gini	Equatorial Guinea	noun	Ɔman wɔ Abibir	A country in Africa	kɔ Malabo-Gini	go to Equatorial Guinea
Malagasi	Malagasy	noun		a language of Madagascar	Malagasi kasa	Malagasy language
Malawi	Malawi	noun	Ɔman wɔ Abibir	A country in Africa	kɔ Malawi	go to Malawi
Malawinyi	Malawian	noun	obi a ɔ fi Malawi	someone from Malawi	Malawifo no	the Malawians
Maldivs	Maldives	noun	Ɔman wɔ Ahyia	A country in Asia	kɔ Maldivs	go to Maldives
Maldivsnyi	Maldivian	noun	obi a ɔ fi Maldivs	someone from Maldives	Maldivsfo no	the Maldivians
Malehyia	Malaysia	noun	Ɔman wɔ Ahyia	A country in Asia	kɔ Malehyia	go to Malaysia
Malehyianyi	Malaysian	noun	obi a ɔ fi Malehyia	someone from Malaysia	Malehyiafo no	the Malaysians
Mali	Mali	noun	Ɔman wɔ Abibir	A country in Africa	kɔ Mali	go to Mali
mali-kraman	wolf	noun			mali-kraman abien	two wolves
Malinyi	Malian	noun	obi a ɔ fi Mali	someone from Mali	Malifo no	the Malians
mamba	citizen	noun		a member of a country community	me yɛ ɔmamba	I am a citizen
mambɔenyi	traitor	noun			amambɔefo abien	two traitors
mamforanyi	immigrant	noun			yɛ yɛ amamforafo	we are immigrants
mampam	alligator	noun			mampam wɔ dua	an alligator has a tail
man	country	noun		a community of people living in a place with full self-government	wo man	your country
man	nation	noun			wo man	your nation
mane	branch	verb			mane ha	branch here
manegya	manager	noun			manegya papa	a good manager
mango	mango	noun			mango no abere	the mango has ripened
mangow	class	noun	sukuu gyinabea	academic stage in a school	ɔ wɔ mangow 2	he is in class 2
mankani	cocoyam	noun		A tuber used in dishes like fufu. Any of the <i>Xanthosoma species</i>	me pɛ mankani	I like cocoyam
mankrado	vice-president	noun			mankrado no aba	the vice-president has arrived
manso	litigation	noun			ɔ pɛ manso	he likes litigation
mansotwenyi	litigant	noun			ɔ yɛ mansotwenyi	she is a litigant
mantaw	state	geography			Lagos Mantaw	Lagos State
manyamanya	chaotic	adjective			hɔ ayɛ manyamanya	the place is chaotic
manyina	national	adjective			sikakorabea manyina	a national bank
mapa	pure	adjective			sika kɔkɔɔ mapa	pure gold
mape	map	noun			kenkan mape no	read the map
masae-pɔnkɔ	zebra	noun			masae-pɔnkɔ asuon	seven zebras
masui	volume	math		a quantity that represents the size of a container	masui (kuubu) = atenten x tɛtrɛtɛ x tenten	volume(cube) = length x width x height
Mateo	Matthew	noun			kenkan Mateo 19:14	read Matthew 19:14
Mayanma	Myanmar	noun	Ɔman wɔ Ahyia	A country in Asia	kɔ Mayanma	go to Myanmar
Mayanmanyi	Myanma	noun	obi a ɔ fi Mayanma	someone from Myanmar	Mayanmafo no	the Myanmas
mbae	coming	noun			mbae a ɛ tɔ so abien	the second coming
mbaemu	extension	noun			dan mbaemu	house extension
mbafoberemu	childhood	noun			me mbafoberemu	my childhood
mbara	law	noun		rules by the government	mbara no se	the law says
mbara	rule	noun			ɔ di mbara no akyi	she follows the rules
mbasanten	generation	noun			mbasanten anum	five generations
mbasu	springwater	noun			nom mbasu	to drink springwater
mbeamudua	cross	noun			Kristo ne mbeamudua	the cross of Christ
mberantebere	youth	noun			me mberantebere mu no, na me ho yɛ den	in my youth, I was strong
mbere	time	noun			mbere no aso	the time is up
mberesanten	eternity	noun			fi seisei kɔsi mberesanten	from now to eternity
mberɛ	flexible	adjective		bends without breaking	dua mberɛ	a flexible stick
mbew	region	noun			mbew abiasa	three regions
Mbɛbusɛm	Proverbs	noun		book of the Bible	Kenkan Mbɛbusɛm 27:17	read Proverbs 27:17
mbɛnsuon	frond	noun			twa mbɛnsuon no	to cut the fronds
mbire	mushroom	noun			mbire nkwan	mushroom soup
mbirika	race	noun			tu mbirika	run a race
mbo	congratulations	noun			mbo na yɛ	congratulations and well done
mbo	well done	exclamation			mbo na yɛ!	job well done!
mboa	help	noun			obiara hia mboa	everyone needs help
mboaba	bribe	noun			ɔ pɛ mboaba	he wants a bribe
mbobakan	calculus	noun			me resua mbobakan	I am learning calculus
mbogya	blood	noun			nsu na mbogya	water and blood
mbogyatu	bleeding	noun			gyae mbogyatu no	stop the bleeding
mbom	except that	conjunction			mbom me pɛ nkyene	except that I want salt
mborɔnsa	rum	noun			mborɔnsa anaa vɔdka?	rum or vodka?
mbɔbɔr	pitiful	adjective			abofra mbɔbɔr	pitiful child
mbɔbɔrwa	pitiable	adjective			abofra mbɔbɔrwa	pitiable child
mbɔdembɔ	achievement	noun			wo mbɔdembɔ sɔ anyi	your achievement is appreciated
mbɔden	effort	noun			mbɔden pa	a good effort
mbɔho	multiplication	noun			2 ɔ 1 = 2; iyi yɛ mbɔho	2 x 1 = 2; this is multiplication
mbɔre	dough	noun			ɔ miaee mbɔre no	he pressed the dough
mbɔtoamu	armpit	noun			mbɔtoamu bɔnee	smelly armpit
mbɔtohɔ	procrastination	noun			mbɔtohɔ nnyie	procrastination is not good
mbrahyɛbagua	parliament	noun			tu no kɔ mbrahyɛbagua	elect her to go to parliament
mbrɛ	as	adverb			mbrɛ ɔ te	as it is
mbrɛw	weak	adjective			me yɛ mbrɛw	I am weak
mbrɛwyɛ	weakness	noun			wɔ ne mbrɛwyɛ mu	in her weakness
mbuada	fasting	noun			mpae nye mbuada	prayer and fasting
mbuae	answer	noun			ma me mbuae	give me an answer
mbubui	paralysis	noun			mbubui yɛ yare	paralysis is a disease
mbuwado	lid	noun			kɔɔpoo ne mbuwado	lid of a cup
me	I	pronoun	de kyerɛ wo ankasa wo ho	used to indicate oneself	me didi	I eat
me	me	pronoun			me nye wo	me and you
me	my	possessive			me fie	my house
me afe wo	i miss you	phrase			me afe wo	I miss you
me da wo ase	thank you	exclamation			me da wo ase pii	thank you very much
me ma wo adwe	good evening	exclamation			Kofi, me ma wo adwe	good evening Kofi
me ma wo aha	good afternoon	exclamation			Esi, me ma wo aha	good afternoon Esi
me ma wo akye	good morning	exclamation			Kofi, me ma wo akye	good morning Kofi
me pa wo kyɛw	please	adverb			ka 'me pa wo kyɛw'	to say 'please'
medaase	thanks	exclamation			Medaase Mandela!	Thanks Mandela!
mede	mine	pronoun			ɛ yi yɛ mede	this thing is mine
mee	be satisfied	verb			me amee	I am satisfied
meho	myself	pronoun			me dɔ meho	I love myself
mem	sink	verb			hɛmba no remem	the boat is sinking
memem	drown	verb			memem ntɛmtɛm	to drown quickly
Memeneda	Saturday	noun	dapɛn mu da	day of the week	Memeneda mba	Saturday children
mena	broom	noun			mena na asawwura	broom and dustpan
menaba	broomstick	noun			menaba du	ten broomsticks
mene	swallow	verb			mene aduru	swallow medicine
mene	throat	noun			pen wo mene mu	clear your throat
merekye	milk	noun			nom merekye	to drink milk
mesia	messiah	noun			wo yɛ mesia no?	are you the messiah?
metinyi	bus conductor	noun		driver's mate	ɔ yɛ metinyi	he's a bus conductor
mɛtafɔ	metaphor	noun			mɛtafɔ papa	a good metaphor
mfaso	profit	noun			nya mfaso	make profit
mfatoho	example	noun			mfatoho pa	a good example
mfedu	decade	noun			mfedu yi	this decade
mfeha	century	noun			mfeha yi	this century
mfɛfo	age group	noun			wo mfɛfo	your age group
mfoba	pimple	noun			me wɔ mfoba	I have a pimple
mfomso	mistake	noun			obiara yɛ mfonso	everyone makes mistakes
mfonyin	picture	noun			mfonyin fɛɛfɛw	beautiful picture
mfonyiwaa	thumbnail	noun	Mfonyin ketewa a ɛ gyina hɔ ma mfonyin kɛse	Smaller version of an image	mia mfonyiwaa no so	click on the thumbnail
mfɔte	termite	noun			mfɔte pii	many termites
mframa	air	noun			mframa rebɔ	the air is blowing
mframa	wind	noun			mframa rebɔ	the wind is blowing
mframamframa	windy	adjective			da mframamframa	a windy day
mfuruma	navel	noun			me mfuruma	my navel
mfutuw	dust	noun			mfutuw kɔkɔɔ	red dust
mfuw	foliage	noun			twa mfuw no	cut the foliage
mia	press	verb			mia no mpɛn asuon	to press it seven times
minisitiri	ministry	noun		a government service	adesuade minisitiri	ministry of education
Misrim	Egypt	noun	Ɔman wɔ Abibir	A country in Africa	kɔ Misrim	go to Egypt
Misrimnyi	Egyptian	noun	obi a ɔ fi Misrim	someone from Egypt	Misrimfo no	the Egyptians
mita	meter	noun	tenten nsusui		mita du	ten meters
mita	metre	noun	tenten nsusui	length metric; meter (American English)	mita du	ten metres
mmɔbɔ-mmɔbɔ	sad	adjective			anyimu mmɔbɔ-mmɔbɔ	a sad face
